"","player","height","weight","birth_year"
"458","Darius Miles",206,95,1981
"459","Mike Miller",203,98,1980
"460","Jerome Moiso",208,106,1978
"461","Hanno Mottola",211,112,1976
"462","Mamadou N'Diaye",203,111,1973
"463","Lee Nailon",206,107,1975
"464","Eduardo Najera",203,108,1976
"465","Ira Newble",201,99,1975
"466","Olumide Oyedeji",208,108,1981
"467","Andy Panko",206,100,1977
"468","Mike Penberthy",190,83,1974
"469","Morris Peterson",201,98,1977
"470","Chris Porter",201,98,1978
"471","Lavor Postell",196,97,1978
"472","Joel Przybilla",216,115,1979
"473","Michael Redd",198,99,1979
"474","Quentin Richardson",198,101,1980
"475","Terrance Roberson",201,97,1976
"476","Soumaila Samake",213,104,1978
"477","Pepe Sanchez",193,88,1977
"478","Daniel Santiago",216,116,1976
"479","Jabari Smith",211,113,1977
"480","DeShawn Stevenson",196,95,1981
"481","Stromile Swift",206,102,1979
"482","Dragan Tarlac",208,117,1973
"483","Jake Tsakalidis",218,129,1979
"484","Hedo Turkoglu",208,99,1979
"485","David Vanterpool",196,90,1973
"486","Jake Voskuhl",211,111,1977
"487","Ruben Wolkowyski",208,122,1973
"488","Wang Zhizhi",213,115,1977
"489","Malik Allen",208,115,1978
"490","Chris Andersen",208,111,1978
"491","Gilbert Arenas",190,86,1982
"492","Brandon Armstrong",196,85,1980
"493","Carlos Arroyo",188,91,1979
"494","Mengke Bateer",211,131,1975
"495","Shane Battier",203,99,1978
"496","Charlie Bell",190,90,1979
"497","Ruben Boumtje-Boumtje",213,116,1978
"498","Michael Bradley",208,111,1979
"499","Jamison Brewer",193,83,1980
"500","Primoz Brezec",218,114,1979
"501","Ernest Brown",213,110,1979
"502","Kedrick Brown",201,100,1981
"503","Kwame Brown",211,122,1982
"504","Tierre Brown",188,85,1979
"505","Tyson Chandler",216,108,1982
"506","Speedy Claxton",180,75,1978
"507","Jarron Collins",193,88,1973
"508","Jason Collins",193,88,1973
"509","Joe Crispin",183,83,1979
"510","Eddy Curry",213,133,1982
"511","Samuel Dalembert",211,115,1981
"512","DeSagana Diop",213,136,1982
"513","Predrag Drobnjak",211,122,1975
"514","Maurice Evans",196,99,1978
"515","Isaac Fontaine",193,95,1975
"516","Alton Ford",185,86,1971
"517","Joseph Forte",193,87,1981
"518","Antonis Fotsis",208,99,1981
"519","Tremaine Fowlkes",203,99,1976
"520","Pau Gasol",213,113,1980
"521","Eddie Griffin",208,99,1982
"522","Tang Hamilton",203,99,1978
"523","Trenton Hassell",196,90,1979
"524","Kirk Haston",206,109,1979
"525","Brendan Haywood",213,121,1979
"526","Steven Hunter",213,99,1981
"527","Mike James",188,85,1975
"528","Richard Jefferson",201,105,1980
"529","Alvin Jones",211,120,1978
"530","Andrei Kirilenko",206,99,1981
"531","Terence Morris",206,100,1979
"532","Troy Murphy",211,111,1980
"533","Dean Oliver",180,81,1978
"534","Tony Parker",188,83,1982
"535","Vladimir Radmanovic",208,102,1980
"536","Zach Randolph",206,117,1981
"537","Zeljko Rebraca",213,116,1972
"538","Jason Richardson",198,99,1981
"539","Norm Richardson",196,86,1979
"540","Jeryl Sasser",198,90,1979
"541","Kenny Satterfield",188,84,1981
"542","Brian Scalabrine",206,109,1978
"543","Ansu Sesay",206,102,1976
"544","Bobby Simmons",201,95,1980
"545","Leon Smith",208,106,1980
"546","Will Solomon",185,83,1978
"547","Etan Thomas",206,116,1978
"548","Jamaal Tinsley",190,88,1978
"549","Oscar Torres",198,95,1976
"550","Jeff Trepagnier",193,90,1979
"551","Ratko Varda",216,117,1979
"552","Gerald Wallace",201,97,1982
