"","X","match_id","match_clock","quarter","quarter_clock","shot_clock","shooter_id","shooter_lastname","shooter_firstname","shooter_team_id","event_id","shot_outcome","shooter_X","shooter_Y","defender_id","defender_lastname","defender_firstname","defender_team_id","defender_X","defender_Y","distance","shooter_height","defender_height","height_difference","shot_dist","def_angle","LeftOrRight"
"532",10,21500035,2288.98,1,128.98,16.3,201939,"Curry","Stephen",1610612744,121,0,63.03265,34.73915,202397,"Smith","Ish",1610612740,66.1785,32.57287,3.81957343965266,190,183,7,27.4996933391084,13.810230772938,"Right"
"709",27,21500035,1315.77,3,595.77,19.19,201939,"Curry","Stephen",1610612744,346,0,31.50099,31.78934,201950,"Holiday","Jrue",1610612740,27.44124,35.63163,5.5897014684686,190,193,-3,27.114749005213,57.9244098320236,"Right"
"731",30,21500035,1211.79,3,491.79,11.12,201939,"Curry","Stephen",1610612744,360,1,16.29373,47.35317,202337,"Babbitt","Luke",1610612740,14.29686,42.09358,5.62590230674156,190,206,-16,24.9324724277758,5.50207579936232,"Left"
"817",38,21500035,760.54,3,40.54,18.28,201939,"Curry","Stephen",1610612744,420,1,21.81723,3.416,202087,"Gee","Alonzo",1610612740,22.975,6.90328,3.67444596793857,190,198,-8,27.20922942446,55.8748245329641,"Right"
"8210",39,21500035,733.02,3,13.02,6.8,201939,"Curry","Stephen",1610612744,427,0,31.40253,19.3832,201962,"Douglas","Toney",1610612740,31.60147,20.66996,1.30204777992207,190,188,2,26.7488928301883,86.6673232121609,"Right"
"881",45,21500035,134.3,4,134.3,6.46,201939,"Curry","Stephen",1610612744,555,1,31.65574,35.76289,202337,"Babbitt","Luke",1610612740,28.00201,33.15353,4.48982210365845,190,206,-16,28.5149593389102,13.3573922059639,"Left"
"974",4,21500051,2648.64,1,488.64,18.29,201939,"Curry","Stephen",1610612744,32,0,28.96831,18.25067,201144,"Conley","Mike",1610612763,29.22218,16.14217,2.12372837879518,190,185,5,24.6599206143288,112.749881658694,"Left"
"9810",5,21500051,2538.5,1,378.5,18.98,201939,"Curry","Stephen",1610612744,46,0,24.10209,43.01778,201584,"Lee","Courtney",1610612763,21.53995,36.90362,6.62929211041421,190,196,-6,26.0776090448588,23.5601656450439,"Left"
"1041",11,21500051,2222.06,1,62.06,16,201939,"Curry","Stephen",1610612744,108,0,25.48145,11.1337,203210,"Green","JaMychal",1610612763,23.16919,14.3308,3.94562982521169,190,206,-16,24.527246987636,19.6980737836503,"Right"
"1091",16,21500051,1611.83,2,171.83,13.05,201939,"Curry","Stephen",1610612744,228,0,20.70872,2.9435,2754,"Allen","Tony",1610612763,18.01408,11.45271,8.92567866067897,190,193,-3,26.93438724546,17.4538211602036,"Right"
"1164",23,21500051,1268.44,3,548.44,15.27,201939,"Curry","Stephen",1610612744,297,1,72.14334,7.87177,201144,"Conley","Mike",1610612763,73.15662,12.24874,4.49272776153864,190,185,5,23.8570203355008,31.0797236564021,"Left"
"12110",28,21500051,1021.96,3,301.96,18.26,201939,"Curry","Stephen",1610612744,346,1,89.90848,46.53209,201144,"Conley","Mike",1610612763,88.06973,43.69448,3.38127669299629,190,185,5,21.5632320322928,29.8632487093908,"Right"
"14810",10,21500069,2025.13,2,585.13,16.4,201939,"Curry","Stephen",1610612744,165,1,31.15086,31.815,203085,"Rivers","Austin",1610612746,28.43209,23.38465,8.85790671859893,190,193,-3,26.7824340518109,57.384137369741,"Left"
"15310",15,21500069,1800,2,360,15.02,201939,"Curry","Stephen",1610612744,221,0,3.82879,47.35031,101108,"Paul","Chris",1610612746,5.38359,37.14831,10.3197968507137,190,183,7,22.3954503183169,5.02686390748923,"Left"
"1592",21,21500069,1571.05,2,131.05,15.4,201939,"Curry","Stephen",1610612744,248,1,29.55383,15.55867,201933,"Griffin","Blake",1610612746,26.08042,20.33116,5.90264667993943,190,208,-18,26.0732595744721,32.7232385727878,"Right"
"1635",25,21500069,1192.39,3,472.39,16.41,201939,"Curry","Stephen",1610612744,318,0,64.1225,38.27529,201933,"Griffin","Blake",1610612746,68.44647,34.49974,5.74033922023777,190,208,-18,27.9776174974586,12.7998128063366,"Right"
"16710",29,21500069,878.32,3,158.32,12.38,201939,"Curry","Stephen",1610612744,370,0,72.619,43.52412,202362,"Stephenson","Lance",1610612746,73.00679,36.4371,7.09762168366982,190,196,-6,24.5632282645095,37.9176866657636,"Right"
"1752",37,21500069,335.05,4,335.05,15.86,201939,"Curry","Stephen",1610612744,472,1,68.01812,10.8961,201599,"Jordan","DeAndre",1610612746,72.71515,15.33055,6.45960042288995,190,211,-21,25.0745058484589,9.12542868912631,"Left"
"17610",38,21500069,299.42,4,299.42,16.73,201939,"Curry","Stephen",1610612744,480,1,64.61154,26.74645,201599,"Jordan","DeAndre",1610612746,67.40847,27.64691,2.93830659334589,190,211,-21,24.2015565361838,21.9839631437667,"Left"
"1814",43,21500069,69.61,4,69.61,16.01,201939,"Curry","Stephen",1610612744,524,1,61.30828,19.28808,201599,"Jordan","DeAndre",1610612746,67.36145,19.72669,6.06903993898541,190,211,-21,28.0298773926109,7.61368959462359,"Left"
"1851",3,21500083,2661.77,1,501.77,24,201939,"Curry","Stephen",1610612744,37,0,22.13917,4.94167,1626144,"Mudiay","Emmanuel",1610612743,15.12517,7.27271,7.39120717350014,190,196,-6,26.2217593932558,31.5187631525385,"Right"
"1863",4,21500083,2499.89,1,339.89,11.09,201939,"Curry","Stephen",1610612744,58,1,7.67656,2.73384,2749,"Nelson","Jameer",1610612743,10.38094,5.44523,3.82953090031925,190,183,7,22.3979926461993,51.1453717586007,"Right"
"1882",6,21500083,2475.46,1,315.46,15.72,201939,"Curry","Stephen",1610612744,65,0,11.49765,1.96128,203914,"Harris","Gary",1610612743,11.23677,8.84153,6.88519414663813,190,193,-3,23.8708137641116,13.0011377375571,"Right"
"1893",7,21500083,2412.42,1,252.42,19.11,201939,"Curry","Stephen",1610612744,73,1,32.4276,35.0695,201568,"Gallinari","Danilo",1610612743,27.84466,31.38023,5.88337081752459,190,208,-18,28.9830428355961,18.5040528662872,"Left"
"1901",8,21500083,2336.06,1,176.06,6.68,201939,"Curry","Stephen",1610612744,93,1,29.0469,31.06472,200751,"Foye","Randy",1610612743,35.53419,29.4594,6.68296220597573,190,193,-3,24.5575503315864,151.803352187088,"Left"
"1944",12,21500083,2169.49,1,9.49,2.45,201939,"Curry","Stephen",1610612744,133,1,21.5971,5.7177,203914,"Harris","Gary",1610612743,15.52985,6.50428,6.11802506197057,190,193,-3,25.2791370837693,42.3226429235455,"Right"
